ID,Edad,Municipio,Nivel Educativo,Programa,Modalidad
428,21,Bayamón,Bachillerato,Educación Pre-Escolar,Presencial
429,26,Toa Alta,Maestría,Biología General,Online
430,18,Naranjito,Bachillerato,Tecnología de Ing. Electrónica,Presencial
431,20,San Juan,Bachillerato,Gerencia de Materiales,Híbrido
432,19,Guaynabo,Bachillerato,Ciencias de Computadoras,Presencial
433,22,Toa Baja,Bachillerato,Educación Física Especial,Online
434,18,Bayamón,Bachillerato,Biología Enfoque Humano,Presencial
435,21,Cataño,Bachillerato,Sistemas de Oficina,Híbrido
436,17,Corozal,Bachillerato,Biología General,Presencial
437,20,Dorado,Bachillerato,Administración de Empresas,Online
438,19,Toa Alta,Bachillerato,Tecnología de Ing. Electrónica,Presencial
439,23,San Juan,Bachillerato,Educación Pre-Escolar,Híbrido
440,18,Bayamón,Bachillerato,Gerencia de Materiales,Presencial
441,21,Vega Alta,Bachillerato,Ciencias de Computadoras,Online
442,19,Guaynabo,Bachillerato,Biología Enfoque Humano,Presencial
443,20,Toa Baja,Bachillerato,Biología General,Híbrido
444,25,Naranjito,Certificado Esp.,Sistemas de Oficina,Presencial
445,18,San Juan,Bachillerato,Administración de Empresas,Presencial
446,22,Cataño,Grado Asociado,Tecnología de Ing. Electrónica,Online
447,19,Bayamón,Bachillerato,Educación Física Especial,Híbrido
448,17,Dorado,Bachillerato,Biología Enfoque Humano,Presencial
449,21,Toa Alta,Bachillerato,Ciencias de Computadoras,Presencial
450,20,Corozal,Bachillerato,Gerencia de Materiales,Online
451,19,San Juan,Bachillerato,Sistemas de Oficina,Híbrido
452,18,Guaynabo,Bachillerato,Biología General,Presencial
453,24,Bayamón,Maestría,Administración de Empresas,Online
454,21,Toa Baja,Bachillerato,Tecnología de Ing. Electrónica,Presencial
455,17,Naranjito,Bachillerato,Educación Pre-Escolar,Híbrido
456,20,Dorado,Bachillerato,Biología Enfoque Humano,Presencial
457,19,Cataño,Bachillerato,Ciencias de Computadoras,Online
458,22,Vega Baja,Bachillerato,Gerencia de Materiales,Presencial
459,18,San Juan,Bachillerato,Educación Física Especial,Híbrido
460,21,Toa Alta,Bachillerato,Biología General,Presencial
461,29,Bayamón,Doctorado,Administración de Empresas,Online
462,19,Guaynabo,Bachillerato,Tecnología de Ing. Electrónica,Híbrido
463,20,Toa Baja,Bachillerato,Sistemas de Oficina,Presencial
464,18,Corozal,Bachillerato,Ciencias de Computadoras,Presencial
465,17,San Juan,Bachillerato,Biología Enfoque Humano,Online
466,21,Naranjito,Bachillerato,Biología General,Híbrido
467,20,Bayamón,Bachillerato,Gerencia de Materiales,Presencial
468,19,Dorado,Bachillerato,Educación Pre-Escolar,Presencial
469,23,Cataño,Bachillerato,Tecnología de Ing. Electrónica,Online
470,18,Toa Alta,Bachillerato,Administración de Empresas,Híbrido
471,22,Guaynabo,Grado Asociado,Biología Enfoque Humano,Presencial
472,21,San Juan,Bachillerato,Sistemas de Oficina,Presencial
473,19,Toa Baja,Bachillerato,Ciencias de Computadoras,Online
474,17,Bayamón,Bachillerato,Biología General,Híbrido
475,20,Naranjito,Bachillerato,Educación Física Especial,Presencial
476,25,Corozal,Maestría,Gerencia de Materiales,Online
477,18,Dorado,Bachillerato,Tecnología de Ing. Electrónica,Presencial
478,21,San Juan,Bachillerato,Biología Enfoque Humano,Híbrido
479,19,Toa Alta,Bachillerato,Administración de Empresas,Presencial
480,20,Bayamón,Bachillerato,Sistemas de Oficina,Online
481,22,Toa Baja,Bachillerato,Ciencias de Computadoras,Híbrido
482,18,Cataño,Bachillerato,Educación Pre-Escolar,Presencial
483,21,Guaynabo,Bachillerato,Biología General,Presencial
484,19,Naranjito,Bachillerato,Gerencia de Materiales,Online
485,17,Dorado,Bachillerato,Tecnología de Ing. Electrónica,Híbrido
486,20,San Juan,Bachillerato,Educación Física Especial,Presencial
487,18,Bayamón,Bachillerato,Biología Enfoque Humano,Presencial
488,24,Toa Alta,Certificado Esp.,Sistemas de Oficina,Online
489,21,Corozal,Bachillerato,Administración de Empresas,Híbrido
490,19,Vega Alta,Bachillerato,Ciencias de Computadoras,Presencial
491,18,Toa Baja,Bachillerato,Biología General,Online
492,20,San Juan,Bachillerato,Gerencia de Materiales,Híbrido
493,17,Bayamón,Bachillerato,Tecnología de Ing. Electrónica,Presencial
494,22,Naranjito,Grado Asociado,Educación Pre-Escolar,Presencial
495,19,Guaynabo,Bachillerato,Biología Enfoque Humano,Online
496,21,Cataño,Bachillerato,Ciencias de Computadoras,Híbrido
497,20,Dorado,Bachillerato,Sistemas de Oficina,Presencial
498,18,Toa Alta,Bachillerato,Educación Física Especial,Presencial
499,23,San Juan,Bachillerato,Administración de Empresas,Online
500,19,Bayamón,Bachillerato,Biología General,Híbrido
